scheme,cfl,wave_type,field,mean_L1,std_L1,median_L1,n,fails,n_solves,sec_per_solve
godunov,0.1,rare,rho,0.017411702828145963,0.011886075023764422,0.01610118395556611,64,0,128,0.5362392531214937
godunov,0.1,rare,v,0.010188795043283686,0.0074145787969309125,0.008836010145787658,64,0,128,0.5362392531214937
godunov,0.1,shock,rho,0.021959523741013696,0.021171486707241328,0.012985944204508718,64,0,128,0.5362392531214937
godunov,0.1,shock,v,0.012081722780307804,0.013288274622920704,0.004694003291251775,64,0,128,0.5362392531214937
godunov,0.2,rare,rho,0.016843270575138736,0.011521249971569838,0.015504621609428252,64,0,128,0.2866770382761388
godunov,0.2,rare,v,0.009778707515218317,0.007112721805781296,0.008461227223981356,64,0,128,0.2866770382761388
godunov,0.2,shock,rho,0.021525834210149385,0.02075338833909602,0.012708952223427054,64,0,128,0.2866770382761388
godunov,0.2,shock,v,0.011787754873887089,0.012933594219095923,0.004547026283305826,64,0,128,0.2866770382761388
godunov,0.4,rare,rho,0.015729952014393943,0.01082490250902425,0.014251837403938308,64,0,128,0.17530802421515546
godunov,0.4,rare,v,0.008988404071691165,0.006545933739430552,0.007649331120766413,64,0,128,0.17530802421515546
godunov,0.4,shock,rho,0.020729070454911444,0.019975958984871194,0.012149235967871803,64,0,128,0.17530802421515546
godunov,0.4,shock,v,0.011264326047751419,0.01231252153678877,0.00423986996199982,64,0,128,0.17530802421515546
godunov,0.6,rare,rho,0.014522164439035722,0.009929028375110938,0.013163626207375568,64,0,128,0.10741759062784695
godunov,0.6,rare,v,0.008174400457079673,0.005872784626778516,0.006935679402012881,64,0,128,0.10741759062784695
godunov,0.6,shock,rho,0.019919212650882596,0.019131333500628837,0.010905736574763892,64,0,128,0.10741759062784695
godunov,0.6,shock,v,0.010706916707743245,0.011593659776213308,0.004213683658285602,64,0,128,0.10741759062784695
godunov,0.9,rare,rho,0.014448546446427745,0.009902037837547334,0.013163626207375568,64,0,128,0.09854194843956066
godunov,0.9,rare,v,0.008090976521763708,0.005835843533438308,0.006935679402012881,64,0,128,0.09854194843956066
godunov,0.9,shock,rho,0.01991871167998147,0.019131715984847197,0.010905736574763892,64,0,128,0.09854194843956066
godunov,0.9,shock,v,0.010706569651841006,0.011593887301868033,0.004213683658285602,64,0,128,0.09854194843956066
hll,0.1,rare,rho,0.016796972550991454,0.011871317629663241,0.014766247273268147,64,0,128,0.03255964453182969
hll,0.1,rare,v,0.00922564941216749,0.007321545756850937,0.007669009764823815,64,0,128,0.03255964453182969
hll,0.1,shock,rho,0.023137127891578665,0.021747999964111864,0.013565745359518155,64,0,128,0.03255964453182969
hll,0.1,shock,v,0.012853832341810156,0.013504405367560843,0.005037659467796413,64,0,128,0.03255964453182969
hll,0.2,rare,rho,0.016233598885032424,0.011495299871376779,0.01432418472525638,64,0,128,0.017719286716783245
hll,0.2,rare,v,0.008838485460616118,0.007016311170168714,0.007243680005442215,64,0,128,0.017719286716783245
hll,0.2,shock,rho,0.022724962929684536,0.021363000776774565,0.013124726401873454,64,0,128,0.017719286716783245
hll,0.2,shock,v,0.01256941663697084,0.013169019654740398,0.004908108164277959,64,0,128,0.017719286716783245
hll,0.4,rare,rho,0.01511598745849753,0.010758387362956819,0.013369566539933288,64,0,128,0.01110364921441942
hll,0.4,rare,v,0.008092297281676725,0.006431639804667844,0.00649675231473212,64,0,128,0.01110364921441942
hll,0.4,shock,rho,0.021969518798537088,0.02065152563253992,0.012335312625739723,64,0,128,0.01110364921441942
hll,0.4,shock,v,0.012064519516656828,0.01258523672110111,0.004642933311058057,64,0,128,0.01110364921441942
hll,0.6,rare,rho,0.013978619632816346,0.009912456434402958,0.012164077725202968,64,0,128,0.006991467186708178
hll,0.6,rare,v,0.007362776279787965,0.005811328580673198,0.005963658607795377,64,0,128,0.006991467186708178
hll,0.6,shock,rho,0.021174969272607657,0.01988391178829248,0.01154112493735604,64,0,128,0.006991467186708178
hll,0.6,shock,v,0.011515409805927983,0.011917035706184576,0.0046083544103023705,64,0,128,0.006991467186708178
hll,0.9,rare,rho,0.013918720962475364,0.009892947858277185,0.012164077725202968,64,0,128,0.0065355867218386265
hll,0.9,rare,v,0.007290475398303484,0.0057766888178063126,0.005828289466525995,64,0,128,0.0065355867218386265
hll,0.9,shock,rho,0.021174451178950792,0.01988432043663782,0.01154112493735604,64,0,128,0.0065355867218386265
hll,0.9,shock,v,0.011515102418546657,0.011917240200374898,0.0046083544103023705,64,0,128,0.0065355867218386265
weno5,0.1,rare,rho,0.007487520685329446,0.005976957154514937,0.006288297034719222,64,0,128,0.28710188593777275
weno5,0.1,rare,v,0.0032517088687345807,0.00306615267392051,0.002416163712189997,64,0,128,0.28710188593777275
weno5,0.1,shock,rho,0.014301221212944042,0.014389835029935922,0.006024994183601205,64,0,128,0.28710188593777275
weno5,0.1,shock,v,0.007320989928395683,0.007770832386794362,0.002854231167374769,64,0,128,0.28710188593777275
weno5,0.2,rare,rho,0.00748667624241761,0.005976271786800966,0.006283042017988124,64,0,128,0.15644189140584785
weno5,0.2,rare,v,0.0032514802902746717,0.0030659553389640543,0.002417844697212212,64,0,128,0.15644189140584785
weno5,0.2,shock,rho,0.014301325043917502,0.01438939521806796,0.006026038137999688,64,0,128,0.15644189140584785
weno5,0.2,shock,v,0.007320911497777782,0.00777068508452992,0.0028542415283384116,64,0,128,0.15644189140584785
weno5,0.4,rare,rho,0.007487659234556325,0.005973010689386082,0.00624517157841461,64,0,128,0.09497811484197882
weno5,0.4,rare,v,0.0032550581434991933,0.0030652348401862786,0.002424349921205545,64,0,128,0.09497811484197882
weno5,0.4,shock,rho,0.014304328988126442,0.014392378027628428,0.00603824603072307,64,0,128,0.09497811484197882
weno5,0.4,shock,v,0.007321483716936247,0.007772690547735932,0.0028543067914641278,64,0,128,0.09497811484197882
weno5,0.6,rare,rho,0.007485425234378301,0.005962877574994142,0.006249411133397243,64,0,128,0.058558394524879986
