scheme,cfl,wave_type,field,mean_overshoot,max_overshoot,mean_tv_excess,max_tv_excess,mean_L1,max_L1
godunov,0.1,rare,rho,0.012101308101573205,0.08731119757138162,0.017922741034745403,0.259346129921614,0.017411702828145963,0.06765731489132783
godunov,0.1,rare,v,0.08076425014664636,0.2736149497049316,1.302096811049976,19.01385299477361,0.010188795043283686,0.04294998790775238
godunov,0.1,shock,rho,0.002309219651048151,0.061153831586232,-0.012953927840581279,2.8187058290521163,0.021959523741013696,0.0697077018505532
godunov,0.1,shock,v,0.010763195120840249,0.23906461403366241,0.40555672885876837,12.687113841783901,0.012081722780307804,0.04661834441748383
godunov,0.4,rare,rho,0.013613619481253583,0.08637855624400048,0.029208252288132057,0.2638918175126197,0.015729952014393943,0.06169274411541334
godunov,0.4,rare,v,0.07714248985653027,0.2800180382745727,1.231121897049336,18.77994713144698,0.008988404071691165,0.03827673617590978
godunov,0.4,shock,rho,0.0020572745680060484,0.050235691174855046,-0.011424443527484972,2.57920215852693,0.020729070454911444,0.06625620618635897
godunov,0.4,shock,v,0.0092094850042898,0.22166297838684235,0.3531020821612661,11.763613803843814,0.011264326047751419,0.04182483923313143
godunov,0.9,rare,rho,0.01566416186426268,0.08626886134587197,0.03945118230414747,0.26065740089040057,0.014448546446427745,0.05481970078012098
godunov,0.9,rare,v,0.07363054926176771,0.277375943185614,1.1901309522747212,18.50496561618517,0.008090976521763708,0.033248902480497805
godunov,0.9,shock,rho,0.0018011159236725667,0.03705441942547655,-0.01346887416514685,2.0936058170836054,0.01991871167998147,0.06205045954973216
godunov,0.9,shock,v,0.008468016218678931,0.22166297838684235,0.32942026095486354,11.763613803843814,0.010706569651841006,0.035984721655668045
hll,0.1,rare,rho,0.009349467920876216,0.0870896322055903,0.0051268235091519,0.2586878673147981,0.016796972550991454,0.06734804480936302
hll,0.1,rare,v,0.07384018717934593,0.24224049108145074,1.2636888138043902,18.922762079509518,0.00922564941216749,0.04257475059144607
hll,0.1,shock,rho,0.002311012912665573,0.061153831586232,-0.017955462989697704,2.8187058290521163,0.023137127891578665,0.06971740110950653
hll,0.1,shock,v,0.01107224449117539,0.20050774023529205,0.3828575312087351,10.640910767829476,0.012853832341810156,0.04661834441748383
hll,0.4,rare,rho,0.01071674496963841,0.08776879733048348,0.017257841984838228,0.2607053235828636,0.01511598745849753,0.061285359216082205
hll,0.4,rare,v,0.06923614560296043,0.23990273730871514,1.1783681350828,18.740133268411647,0.008092297281676725,0.03785238245435495
hll,0.4,shock,rho,0.0020775515559312203,0.050235691174855046,-0.016140229650932106,2.57920215852693,0.021969518798537088,0.06626943562353138
hll,0.4,shock,v,0.009590703962951369,0.17700074121948395,0.3288522066598315,9.393395468273814,0.012064519516656828,0.04182483923313143
hll,0.9,rare,rho,0.012123054527048163,0.08770937895022302,0.02685646474395425,0.2605288072248766,0.013918720962475364,0.0544854557857881
hll,0.9,rare,v,0.06617742242892488,0.23682338254568414,1.138027646020202,18.49960650539653,0.007290475398303484,0.03288925690107441
hll,0.9,shock,rho,0.0018217093284424641,0.037067070511330125,-0.018347627590813466,2.0936058170836054,0.021174451178950792,0.06264899659520214
hll,0.9,shock,v,0.008852345964678474,0.17700074121948395,0.30519443539726343,9.393395468273814,0.011515102418546657,0.03769947724115453
weno5,0.1,rare,rho,0.013691352208188783,0.06853846883021264,0.07270265353564462,0.3540020227099572,0.007487520685329446,0.032124118352207784
weno5,0.1,rare,v,0.030091027046043724,0.15875096091271368,0.6845425044520528,8.028313756581133,0.0032517088687345807,0.017150439846866677
weno5,0.1,shock,rho,0.004672068136072146,0.0374719525426529,0.06508052125304346,3.109459974118641,0.014301221212944042,0.05402977446615695
weno5,0.1,shock,v,0.006662196796763474,0.140797058796846,0.28581488203299665,7.751306398566742,0.007320989928395683,0.030614357435158265
weno5,0.4,rare,rho,0.013680493051008175,0.06864663635931878,0.07248368601521187,0.3539590698940218,0.007487659234556325,0.03214233024873907
weno5,0.4,rare,v,0.030253801742989868,0.15850705870629278,0.6861236085528177,8.075607560087319,0.0032550581434991933,0.017133421624505162
weno5,0.4,shock,rho,0.004659090854486811,0.03741836796699982,0.06484266452664086,3.107037369243545,0.014304328988126442,0.054084941940940906
weno5,0.4,shock,v,0.006650128895837849,0.14059660837646637,0.2847817849627059,7.721285976919679,0.007321483716936247,0.03064475370851792
weno5,0.9,rare,rho,0.013304457595990481,0.06864663635931878,0.07124316493476565,0.3542722438279775,0.007481574615709935,0.032150982933949177
weno5,0.9,rare,v,0.029995999081481546,0.15780497559548345,0.6811433488354761,8.075782161872352,0.003269537284876516,0.017113667957389143
weno5,0.9,shock,rho,0.004634034435524034,0.036955120667805486,0.06437951951077252,3.0925519583928125,0.014314842512537958,0.05410746673410757
weno5,0.9,shock,v,0.006624754895877129,0.14059660837646637,0.2839656304348084,7.721285976919679,0.007325060132874187,0.0306574851467918
